uprn,OS_lpi_address,OS_pao,OS_postcode,OS_max_height,OS_height_band,OS_max_epc_floor_level,OS_address_count,OS_property_type,OS_lucs_type_count,OS_title_number,OS_title_number_counts,OS_toid,OS_usrn,OS_custodian_name,OS_country,OS_easting,OS_northing
200003498532,"HONEYWOOD HOUSE, GOLDSMITH ROAD, LONDON, SE15 5SX",HONEYWOOD HOUSE GOLDSMITH ROAD,SE15 5SX,18.9,Over 18m,4,25,FLATS,RESIDENTIAL:25,{SGL230400},1,osgb1000006163390,22501075,SOUTHWARK,ENGLAND,534331,176894
10000817497,"GODFREE COURT, 35 LONG LANE, LONDON, SE1 4PS",GODFREE COURT 35 LONG LANE,SE1 4PS,24.3,Over 18m,6,14,FLATS,RESIDENTIAL:14,{LN214982},1,osgb1000001769566207,22501547,SOUTHWARK,ENGLAND,532605,179759
200003755268,"GISBURN HOUSE FRIARY ESTATE, GREEN HUNDRED ROAD, LONDON, SE15 1SE",GISBURN HOUSE FRIARY ESTATE GREEN HUNDRED ROAD,SE15 1SE,18.1,Over 18m,4,25,FLATS,RESIDENTIAL:25,{TGL230654},1,osgb1000006166133,22501143,SOUTHWARK,ENGLAND,534473,177517
200003755250,"FAWKHAM HOUSE LONGFIELD ESTATE, FORT ROAD, LONDON, SE1 5SA",FAWKHAM HOUSE LONGFIELD ESTATE FORT ROAD,SE1 5SA,22.2,Over 18m,6,35,FLATS,RESIDENTIAL:35,{TGL369653},1,osgb1000006027134,22500982,SOUTHWARK,ENGLAND,533821,178710
10009794638,"FARADAY HOUSE, 23 COLE STREET, LONDON, SE1 4LE",FARADAY HOUSE 23 COLE STREET,SE1 4LE,20.1,Over 18m,5,30,FLATS,RESIDENTIAL:30,{TGL195452},1,osgb1000001769585398,22500537,SOUTHWARK,ENGLAND,532509,179530
200003353316,"COURT SERVICE AGENCY, CROWN COURT, 1 POCOCK STREET, LONDON, SE1 0BE",CROWN COURT 1 POCOCK STREET,SE1 0BE,18.2,Over 18m,,3,MULTI (RETAIL) COMMERCIAL,"RETAILING:3, COMMUNITY BUILDINGS:1",{TGL199264},1,osgb1000005727552,22501991,SOUTHWARK,ENGLAND,531927,179890
200003755249,"DARTFORD HOUSE LONGFIELD ESTATE, FORT ROAD, LONDON, SE1 5RZ",DARTFORD HOUSE LONGFIELD ESTATE FORT ROAD,SE1 5RZ,19.2,Over 18m,6,41,FLATS,RESIDENTIAL:41,{TGL369653},1,osgb1000006027078,22500982,SOUTHWARK,ENGLAND,533871,178721
200003453361,"COBOURG PRIMARY SCHOOL, COBOURG ROAD, LONDON, SE5 0JD",COBOURG PRIMARY SCHOOL COBOURG ROAD,SE5 0JD,21.5,Over 18m,,2,EDUCATION PREMISE,COMMUNITY BUILDINGS:3,{TGL270839},1,osgb1000006024457,22500531,SOUTHWARK,ENGLAND,533624,177958
200003497127,"CENTRE POINT, AVONDALE SQUARE, LONDON, SE1 5NU",CENTRE POINT AVONDALE SQUARE,SE1 5NU,58.1,Over 18m,20,74,FLATS,RESIDENTIAL:74,,,osgb1000006171716,22500119,SOUTHWARK,ENGLAND,534114,178292
200003499188,"CAMPBELL COURT, LORDSHIP LANE, LONDON, SE22 8NU",CAMPBELL COURT LORDSHIP LANE,SE22 8NU,22.3,Over 18m,5,72,FLATS,RESIDENTIAL:72,{LN87344},1,osgb1000006153362,22501557,SOUTHWARK,ENGLAND,534196,173476
10091666315,"CAPELL APARTMENTS, VICTORY PLACE, LONDON, SE17 1AS",CAPELL APARTMENTS VICTORY PLACE,SE17 1AS,22.2,Over 18m,,20,FLATS,RESIDENTIAL:20,{SGL384379},1,osgb5000005156689620,22502625,SOUTHWARK,ENGLAND,532565.43,178798.68
200003376118,"BRIDGE HOUSE, 4 BOROUGH HIGH STREET, LONDON, SE1 9QQ",BRIDGE HOUSE 4 BOROUGH HIGH STREET,SE1 9QQ,27,Over 18m,,5,MULTI COMMERCIAL,OFFICES:2,{TGL114626},1,osgb1000005890190,22500284,SOUTHWARK,ENGLAND,532745,180336
200003377056,"BROADWALL HOUSE, 21 BROADWALL, LONDON, SE1 9PL",BROADWALL HOUSE 21 BROADWALL,SE1 9PL,18.3,Over 18m,,7,MULTI COMMERCIAL,OFFICES:7,{LN132352},1,osgb1000005731411,22500336,SOUTHWARK,ENGLAND,531389,180426
10009798948,"BRIDGEGATE HOUSE, 116-118, BOROUGH HIGH STREET, LONDON, SE1 1BL",BRIDGEGATE HOUSE 116-118 BOROUGH HIGH STREET,SE1 1BL,24.1,Over 18m,6,16,MIXED USE,"RESIDENTIAL:14, OFFICES:1",{TGL205313},1,osgb1000001769443213,22500284,SOUTHWARK,ENGLAND,532500,179943
200003500534,"ASTON WEBB HOUSE, 115 TOOLEY STREET, LONDON, SE1 2AT",ASTON WEBB HOUSE 115 TOOLEY STREET,SE1 2AT,21.3,Over 18m,4,14,FLATS,RESIDENTIAL:14,{TGL200149},1,osgb1000006033763,22502518,SOUTHWARK,ENGLAND,533200,180135
10009807821,"BATWA HOUSE, CREDON ROAD, LONDON, SE16 3BA",BATWA HOUSE CREDON ROAD,SE16 3BA,19.2,Over 18m,2,21,FLATS,RESIDENTIAL:21,{LN130486},1,osgb1000001769617659,22500643,SOUTHWARK,ENGLAND,534942,178083
