uprn,abp_postcode
200003375485,SE1 8QS
10090286002,SE1 8HA
200003375490,SE1 8QT
200003376190,SE1 9JX
200003376241,SE1 9JY
200003376230,SE1 9JX
200003376520,SE1 9JB
200003376522,SE1 9JB
200003376500,SE1 9JB
200003376903,SE1 9JH
200003377329,SE1 9AS
200003377347,SE1 9EP
200003390224,SE15 3JL
200003390241,SE15 3JL
200003390820,SE15 3JG
200003401712,SE16 2HS
200003403183,SE16 2HP
200003403186,SE16 2HP
200003406275,SE16 3XZ
200003404130,SE16 2PT
200003410124,SE16 4XD
200003499155,SE16 4XE
200003410145,SE16 4XE
200003410580,SE16 4NF
200003415265,SE16 6PY
200003413596,SE16 5RF
200003498290,SE16 6PS
200003416680,SE16 7TF
200003415379,SE16 6PN
200003420005,SE17 1HH
200003423897,SE17 2RN
200003427390,SE17 2UG
200003436783,SE22 0BE
200003433662,SE19 1SW
200003436905,SE22 0BL
200003439652,SE22 0PJ
200003442919,SE22 8NX
200003448702,SE23 3PJ
200003443030,SE22 8PB
200003453312,SE5 0UH
200003455193,SE5 0BB
200003458071,SE5 7DR
200003458696,SE5 7QE
200003492684,SE5 7BU
200003461649,SE5 8HD
200003465029,SE5 9HB
200003463180,SE5 8TL
200003465912,SE8 5DY
200003485224,SE1 4PT
200003488317,SE1 4PT
200003487257,SE19 1PJ
200003748651,SE15 1EB
200003748720,SE15 2DF
200003749712,SE16 3YB
200003750599,SE17 2LG
200003750676,SE17 2LL
200003750847,SE17 3NW
200003752360,SE22 8AQ
200003752474,SE5 7HU
200003753220,SE16 2DW
200003753929,SE1 3RW
200003753811,SE15 1RS
10091666161,SE16 4TT
200003754228,SE1 3BY
200003754140,SE15 5NJ
10013525122,SE16 6RH
10013528169,SE1 2RH
10090748687,SE16 2BF
10013532024,SE1 7JB
200003468774,SE1 6BF
10025179343,SE16 7EW
200003417837,SE16 7FB
10093340414,SE1 3GT
10093340907,SE1 4UR
200003500817,SE1 0RJ
10094087570,SE15 4BP
200003470196,SE15 4NX
10000818839,SE1 0UW
200003499362,SE1 1EW
10000813461,SE1 2NU
200003361040,SE1 2YR
200003360499,SE1 2NE
200003499683,SE1 4DP
10000809729,SE1 8HA
200003500808,SE1 8RP
200003499769,SE15 3JE
200003499190,SE22 8NY
10000816548,SE16 7TH
200003498129,SE5 9EY
200003475391,SE1 6RD
200003755294,SE15 6SE
10000811775,SE1 4QF
200003390244,SE15 3JL
10009806806,SE1 2AW
10000810150,SE8 5AU
10000810510,SE5 7EY
10000810088,SE8 5AS
10000810730,SE5 8HJ
10000811326,SE1 4WW
10000813101,SE1 9HH
10000813041,SE5 7HF
10000817572,SE22 8GB
10000816558,SE1 6SD
10000818616,SE1 4PS
10009788230,SE1 4TT
10009797086,SE16 4HW
10009794712,SE1 8HW
10009792413,SE1 4LE
10009799390,SE5 0JF
10009797788,SE1 8NJ
10009799903,SE16 4NF
10009799870,SE1 4PA
10009800112,SE16 4UQ
10009801087,SE1 3GB
10009801270,SE15 4ST
10009801159,SE15 3GW
10009806735,SE15 2HA
10009803710,SE17 1JL
10009804069,SE16 4RN
10009805866,SE5 0DJ
10009805551,SE15 5PY
10009807380,SE1 0BF
10009807459,SE1 1RD
10013524320,SE1 3GG
10013524333,SE5 0DD
10013525379,SE15 4UP
10013525073,SE16 6RF
10013525368,SE15 4UP
10013526675,SE16 4DX
10013525563,SE1 4XE
10013527978,SE16 2BE
10013527757,SE1 6BN
10013529310,SE15 2AJ
10013529330,SE1 6PD
10013530215,SE1 3TQ
10013530028,SE1 5ZT
10013531760,SE16 3FG
10013531725,SE16 3FD
10013532030,SE1 0LX
10090283729,SE1 6TU
10090282771,SE1 1HR
10090283780,SE16 3PB
10090284438,SE5 8LH
10090284514,SE16 7AW
10090285330,SE16 4AU
10090286791,SE16 7EE
10090287160,SE1 4PN
10090286970,SE16 7DX
10090746804,SE17 3DA
10090746710,SE1 8RQ
10090747301,SE5 8LH
10090746870,SE17 3DB
10090747057,SE1 0FP
10091668284,SE17 2FY
10090748950,SE5 0DF
10090748677,SE16 2BB
10090749346,SE16 3GA
10090750240,SE1 3GR
10091663808,SE5 7FA
10091663932,SE5 7FL
10091664537,SE1 0FT
10091664600,SE1 3UA
10091664819,SE16 7ER
10091665425,SE5 9AZ
10091666842,SE17 1BP
10091667120,SE16 4ES
10091668174,SE1 4PN
10091668351,SE17 2FT
10091969549,SE1 0BS
10091668469,SE1 1AP
10092003701,SE1 9SG
10093338143,SE1 3FE
10093339289,SE16 4TN
10093339414,SE1 3UW
